delivery_type,courier_id,lmr,cost
DoorToDoor,courier_a,Local,46
DoorToDoor,courier_a,Main,69
DoorToDoor,courier_a,Regional,87
DoorToDoor,courier_b,Local,55
DoorToDoor,courier_b,Main,72
DoorToDoor,courier_b,Regional,95
DoorToDoor,courier_c,Local,20
DoorToDoor,courier_c,Main,10000
DoorToDoor,courier_c,Regional,10000
StorePickup,courier_a,Local,22
StorePickup,courier_a,Main,38
StorePickup,courier_a,Regional,62
StorePickup,courier_b,Local,62
StorePickup,courier_b,Main,62
StorePickup,courier_b,Regional,62
StorePickup,courier_c,Local,10000
StorePickup,courier_c,Main,10000
StorePickup,courier_c,Regional,10000
