PostalCode,HubID,LMR,CourierId
0001,PTA,Local,courier_a
0002,PTA,Local,courier_a
0003,PTA,Local,courier_a
0004,PTA,Local,courier_a
0005,PTA,Local,courier_a
0006,PTA,Main,courier_a
0007,PTA,Local,courier_a
0008,PTA,Regional,courier_a
0009,PTA,Local,courier_a
0010,PTA,Local,courier_a
0011,PTA,Local,courier_a
0012,PTA,Local,courier_a
0014,PTA,Local,courier_a
0016,PTA,Local,courier_a
0017,PTA,Regional,courier_a
0018,PTA,Local,courier_a
0019,PTA,Local,courier_a
0020,PTA,Local,courier_a
0021,PTA,Regional,courier_a
0022,PTA,Regional,courier_a
0023,PTA,Local,courier_a
0024,PTA,Local,courier_a
0025,PTA,Local,courier_a
0026,PTA,Local,courier_a
0027,PTA,Local,courier_a
0028,PTA,Local,courier_a
0029,PTA,Local,courier_a
0030,PTA,Local,courier_a
0031,PTA,Local,courier_a
0032,PTA,Local,courier_a
0033,PTA,Local,courier_a
0035,PTA,Local,courier_a
0036,PTA,Local,courier_a
0037,PTA,Local,courier_a
0039,PTA,Local,courier_a
0040,PTA,Local,courier_a
0041,PTA,Local,courier_a
0042,PTA,Local,courier_a
0043,PTA,Local,courier_a
0044,PTA,Local,courier_a
0045,PTA,Local,courier_a
0046,PTA,,courier_a
0047,PTA,Local,courier_a
0048,PTA,Local,courier_a
0049,PTA,Local,courier_a
0050,PTA,Regional,courier_a
0051,PTA,Local,courier_a
0052,PTA,Regional,courier_a
0053,PTA,Local,courier_a
0054,PTA,Local,courier_a
0055,PTA,Local,courier_a
0056,PTA,Main,courier_a
0057,PTA,Local,courier_a
0058,PTA,Regional,courier_a
0059,PTA,Local,courier_a
0060,PTA,Local,courier_a
0061,PTA,Local,courier_a
0062,PTA,Local,courier_a
0063,PTA,Local,courier_a
0064,PTA,Regional,courier_a
0065,PTA,Local,courier_a
0066,PTA,Local,courier_a
0068,PTA,Local,courier_a
0069,PTA,Local,courier_a
0071,PTA,Local,courier_a
0074,PTA,Local,courier_a
0075,PTA,Local,courier_a
0076,PTA,Local,courier_a
